target,year,coverage_value,coverage_type,coverage_area
Lower-middle-income,2021,97.1,Population covered by a mobile-cellular network (%),Total
Upper-middle-income,2021,98.3,Population covered by a mobile-cellular network (%),Total
High-income,2021,99.7,Population covered by a mobile-cellular network (%),Total
Least Developed Countries (LDCs),2021,92.0,Population covered by a mobile-cellular network (%),Total
Land Locked Developing Countries (LLDCs),2021,94.3,Population covered by a mobile-cellular network (%),Total
Small Island Developing States (SIDS),2021,91.1,Population covered by a mobile-cellular network (%),Total
Africa,2021,91.9,Population covered by a mobile-cellular network (%),Total
Americas,2021,95.9,Population covered by a mobile-cellular network (%),Total
Arab States,2021,96.8,Population covered by a mobile-cellular network (%),Total
Asia-Pacific,2021,98.6,Population covered by a mobile-cellular network (%),Total
CIS,2021,98.9,Population covered by a mobile-cellular network (%),Total
Europe,2021,99.8,Population covered by a mobile-cellular network (%),Total
World,2022,97.5,Population covered by a mobile-cellular network (%),Total
Low-income,2022,90.0,Population covered by a mobile-cellular network (%),Total
Lower-middle-income,2022,97.3,Population covered by a mobile-cellular network (%),Total
Upper-middle-income,2022,98.7,Population covered by a mobile-cellular network (%),Total
High-income,2022,99.6,Population covered by a mobile-cellular network (%),Total
Least Developed Countries (LDCs),2022,92.7,Population covered by a mobile-cellular network (%),Total
Land Locked Developing Countries (LLDCs),2022,95.4,Population covered by a mobile-cellular network (%),Total
Small Island Developing States (SIDS),2022,91.2,Population covered by a mobile-cellular network (%),Total
Africa,2022,92.6,Population covered by a mobile-cellular network (%),Total
Americas,2022,96.4,Population covered by a mobile-cellular network (%),Total
Arab States,2022,97.1,Population covered by a mobile-cellular network (%),Total
Asia-Pacific,2022,98.7,Population covered by a mobile-cellular network (%),Total
CIS,2022,99.0,Population covered by a mobile-cellular network (%),Total
Europe,2022,99.7,Population covered by a mobile-cellular network (%),Total
World,2023,97.7,Population covered by a mobile-cellular network (%),Total
Low-income,2023,90.5,Population covered by a mobile-cellular network (%),Total
Lower-middle-income,2023,98.8,Population covered by a mobile-cellular network (%),Total
Upper-middle-income,2023,99.6,Population covered by a mobile-cellular network (%),Total
High-income,2023,99.6,Population covered by a mobile-cellular network (%),Total
Least Developed Countries (LDCs),2023,93.2,Population covered by a mobile-cellular network (%),Total
Land Locked Developing Countries (LLDCs),2023,95.8,Population covered by a mobile-cellular network (%),Total
Small Island Developing States (SIDS),2023,91.4,Population covered by a mobile-cellular network (%),Total
Africa,2023,93.5,Population covered by a mobile-cellular network (%),Total
Americas,2023,96.6,Population covered by a mobile-cellular network (%),Total
Arab States,2023,97.2,Population covered by a mobile-cellular network (%),Total
Asia-Pacific,2023,98.8,Population covered by a mobile-cellular network (%),Total
CIS,2023,99.0,Population covered by a mobile-cellular network (%),Total
Europe,2023,99.8,Population covered by a mobile-cellular network (%),Total
World,2024,97.9,Population covered by a mobile-cellular network (%),Total
Low-income,2024,91.1,Population covered by a mobile-cellular network (%),Total
Lower-middle-income,2024,98.9,Population covered by a mobile-cellular network (%),Total
Upper-middle-income,2024,99.6,Population covered by a mobile-cellular network (%),Total
High-income,2024,99.6,Population covered by a mobile-cellular network (%),Total
Least Developed Countries (LDCs),2024,93.6,Population covered by a mobile-cellular network (%),Total
Land Locked Developing Countries (LLDCs),2024,96.1,Population covered by a mobile-cellular network (%),Total
Small Island Developing States (SIDS),2024,91.5,Population covered by a mobile-cellular network (%),Total
Africa,2024,93.8,Population covered by a mobile-cellular network (%),Total
Americas,2024,96.9,Population covered by a mobile-cellular network (%),Total
Arab States,2024,97.4,Population covered by a mobile-cellular network (%),Total
Asia-Pacific,2024,98.9,Population covered by a mobile-cellular network (%),Total
CIS,2024,99.1,Population covered by a mobile-cellular network (%),Total
Europe,2024,99.8,Population covered by a mobile-cellular network (%),Total
World,2015,99.9,Population covered by a mobile-cellular network (%),Urban
Low-income,2015,96.8,Population covered by a mobile-cellular network (%),Urban
Lower-middle-income,2015,100,Population covered by a mobile-cellular network (%),Urban
Upper-middle-income,2015,99.8,Population covered by a mobile-cellular network (%),Urban
High-income,2015,100,Population covered by a mobile-cellular network (%),Urban
Least Developed Countries (LDCs),2015,99.1,Population covered by a mobile-cellular network (%),Urban
Land Locked Developing Countries (LLDCs),2015,98.6,Population covered by a mobile-cellular network (%),Urban
Small Island Developing States (SIDS),2015,99.8,Population covered by a mobile-cellular network (%),Urban
Africa,2015,99.4,Population covered by a mobile-cellular network (%),Urban
Americas,2015,99.9,Population covered by a mobile-cellular network (%),Urban
Arab States,2015,98.9,Population covered by a mobile-cellular network (%),Urban
Asia-Pacific,2015,100,Population covered by a mobile-cellular network (%),Urban
CIS,2015,100,Population covered by a mobile-cellular network (%),Urban
Europe,2015,100,Population covered by a mobile-cellular network (%),Urban
World,2016,100.0,Population covered by a mobile-cellular network (%),Urban
Low-income,2016,99.4,Population covered by a mobile-cellular network (%),Urban
Lower-middle-income,2016,100.0,Population covered by a mobile-cellular network (%),Urban
Upper-middle-income,2016,99.9,Population covered by a mobile-cellular network (%),Urban
High-income,2016,100.0,Population covered by a mobile-cellular network (%),Urban
Least Developed Countries (LDCs),2016,100.0,Population covered by a mobile-cellular network (%),Urban
Land Locked Developing Countries (LLDCs),2016,100.0,Population covered by a mobile-cellular network (%),Urban
Small Island Developing States (SIDS),2016,99.9,Population covered by a mobile-cellular network (%),Urban
Africa,2016,100.0,Population covered by a mobile-cellular network (%),Urban
Americas,2016,99.9,Population covered by a mobile-cellular network (%),Urban
Arab States,2016,99.6,Population covered by a mobile-cellular network (%),Urban
Asia-Pacific,2016,100.0,Population covered by a mobile-cellular network (%),Urban
CIS,2016,100.0,Population covered by a mobile-cellular network (%),Urban
Europe,2016,100.0,Population covered by a mobile-cellular network (%),Urban
World,2017,100.0,Population covered by a mobile-cellular network (%),Urban
Low-income,2017,99.8,Population covered by a mobile-cellular network (%),Urban
Lower-middle-income,2017,100.0,Population covered by a mobile-cellular network (%),Urban
Upper-middle-income,2017,100.0,Population covered by a mobile-cellular network (%),Urban
High-income,2017,100.0,Population covered by a mobile-cellular network (%),Urban
Least Developed Countries (LDCs),2017,100.0,Population covered by a mobile-cellular network (%),Urban
Land Locked Developing Countries (LLDCs),2017,100.0,Population covered by a mobile-cellular network (%),Urban
Small Island Developing States (SIDS),2017,99.9,Population covered by a mobile-cellular network (%),Urban
Africa,2017,100.0,Population covered by a mobile-cellular network (%),Urban
Americas,2017,100.0,Population covered by a mobile-cellular network (%),Urban
Arab States,2017,100.0,Population covered by a mobile-cellular network (%),Urban
Asia-Pacific,2017,100.0,Population covered by a mobile-cellular network (%),Urban
CIS,2017,100.0,Population covered by a mobile-cellular network (%),Urban
Europe,2017,100.0,Population covered by a mobile-cellular network (%),Urban
World,2018,100.0,Population covered by a mobile-cellular network (%),Urban
Low-income,2018,99.8,Population covered by a mobile-cellular network (%),Urban
Lower-middle-income,2018,100.0,Population covered by a mobile-cellular network (%),Urban
Upper-middle-income,2018,100.0,Population covered by a mobile-cellular network (%),Urban
High-income,2018,99.9,Population covered by a mobile-cellular network (%),Urban
Least Developed Countries (LDCs),2018,100.0,Population covered by a mobile-cellular network (%),Urban
Land Locked Developing Countries (LLDCs),2018,100.0,Population covered by a mobile-cellular network (%),Urban
Small Island Developing States (SIDS),2018,99.9,Population covered by a mobile-cellular network (%),Urban
Africa,2018,100.0,Population covered by a mobile-cellular network (%),Urban
Americas,2018,100.0,Population covered by a mobile-cellular network (%),Urban
Arab States,2018,99.9,Population covered by a mobile-cellular network (%),Urban
Asia-Pacific,2018,100.0,Population covered by a mobile-cellular network (%),Urban
CIS,2018,100.0,Population covered by a mobile-cellular network (%),Urban
Europe,2018,100.0,Population covered by a mobile-cellular network (%),Urban
World,2019,100.0,Population covered by a mobile-cellular network (%),Urban
Low-income,2019,99.8,Population covered by a mobile-cellular network (%),Urban
Lower-middle-income,2019,100.0,Population covered by a mobile-cellular network (%),Urban
Upper-middle-income,2019,100.0,Population covered by a mobile-cellular network (%),Urban
High-income,2019,99.9,Population covered by a mobile-cellular network (%),Urban
Least Developed Countries (LDCs),2019,100.0,Population covered by a mobile-cellular network (%),Urban
Land Locked Developing Countries (LLDCs),2019,100.0,Population covered by a mobile-cellular network (%),Urban
Small Island Developing States (SIDS),2019,99.9,Population covered by a mobile-cellular network (%),Urban
Africa,2019,100.0,Population covered by a mobile-cellular network (%),Urban
Americas,2019,100.0,Population covered by a mobile-cellular network (%),Urban
Arab States,2019,99.9,Population covered by a mobile-cellular network (%),Urban
Asia-Pacific,2019,100.0,Population covered by a mobile-cellular network (%),Urban
CIS,2019,100.0,Population covered by a mobile-cellular network (%),Urban
Europe,2019,100.0,Population covered by a mobile-cellular network (%),Urban
World,2020,100.0,Population covered by a mobile-cellular network (%),Urban
Low-income,2020,100.0,Population covered by a mobile-cellular network (%),Urban
Lower-middle-income,2020,100.0,Population covered by a mobile-cellular network (%),Urban
Upper-middle-income,2020,100.0,Population covered by a mobile-cellular network (%),Urban
High-income,2020,100.0,Population covered by a mobile-cellular network (%),Urban
Least Developed Countries (LDCs),2020,100.0,Population covered by a mobile-cellular network (%),Urban
Land Locked Developing Countries (LLDCs),2020,100.0,Population covered by a mobile-cellular network (%),Urban
Small Island Developing States (SIDS),2020,99.9,Population covered by a mobile-cellular network (%),Urban
Africa,2020,100.0,Population covered by a mobile-cellular network (%),Urban
Americas,2020,100.0,Population covered by a mobile-cellular network (%),Urban
Arab States,2020,99.9,Population covered by a mobile-cellular network (%),Urban
Asia-Pacific,2020,100.0,Population covered by a mobile-cellular network (%),Urban
CIS,2020,100.0,Population covered by a mobile-cellular network (%),Urban
Europe,2020,100.0,Population covered by a mobile-cellular network (%),Urban
World,2021,100.0,Population covered by a mobile-cellular network (%),Urban
Low-income,2021,100.0,Population covered by a mobile-cellular network (%),Urban
Lower-middle-income,2021,100.0,Population covered by a mobile-cellular network (%),Urban
Upper-middle-income,2021,100.0,Population covered by a mobile-cellular network (%),Urban
High-income,2021,100.0,Population covered by a mobile-cellular network (%),Urban
Least Developed Countries (LDCs),2021,100.0,Population covered by a mobile-cellular network (%),Urban
Land Locked Developing Countries (LLDCs),2021,100.0,Population covered by a mobile-cellular network (%),Urban
Small Island Developing States (SIDS),2021,99.9,Population covered by a mobile-cellular network (%),Urban
Africa,2021,100.0,Population covered by a mobile-cellular network (%),Urban
Americas,2021,100.0,Population covered by a mobile-cellular network (%),Urban
Arab States,2021,99.9,Population covered by a mobile-cellular network (%),Urban
Asia-Pacific,2021,100.0,Population covered by a mobile-cellular network (%),Urban
CIS,2021,100.0,Population covered by a mobile-cellular network (%),Urban
Europe,2021,100.0,Population covered by a mobile-cellular network (%),Urban
World,2022,100.0,Population covered by a mobile-cellular network (%),Urban
Low-income,2022,100.0,Population covered by a mobile-cellular network (%),Urban
Lower-middle-income,2022,100.0,Population covered by a mobile-cellular network (%),Urban
Upper-middle-income,2022,100.0,Population covered by a mobile-cellular network (%),Urban
High-income,2022,100.0,Population covered by a mobile-cellular network (%),Urban
Least Developed Countries (LDCs),2022,100.0,Population covered by a mobile-cellular network (%),Urban
Land Locked Developing Countries (LLDCs),2022,100.0,Population covered by a mobile-cellular network (%),Urban
Small Island Developing States (SIDS),2022,99.9,Population covered by a mobile-cellular network (%),Urban
Africa,2022,100.0,Population covered by a mobile-cellular network (%),Urban
Americas,2022,100.0,Population covered by a mobile-cellular network (%),Urban
Arab States,2022,100.0,Population covered by a mobile-cellular network (%),Urban
Asia-Pacific,2022,100.0,Population covered by a mobile-cellular network (%),Urban
CIS,2022,100.0,Population covered by a mobile-cellular network (%),Urban
Europe,2022,100.0,Population covered by a mobile-cellular network (%),Urban
World,2023,100.0,Population covered by a mobile-cellular network (%),Urban
Low-income,2023,100.0,Population covered by a mobile-cellular network (%),Urban
Lower-middle-income,2023,100.0,Population covered by a mobile-cellular network (%),Urban
Upper-middle-income,2023,100.0,Population covered by a mobile-cellular network (%),Urban
High-income,2023,100.0,Population covered by a mobile-cellular network (%),Urban
Least Developed Countries (LDCs),2023,100.0,Population covered by a mobile-cellular network (%),Urban
Land Locked Developing Countries (LLDCs),2023,100.0,Population covered by a mobile-cellular network (%),Urban
Small Island Developing States (SIDS),2023,99.9,Population covered by a mobile-cellular network (%),Urban
Africa,2023,100.0,Population covered by a mobile-cellular network (%),Urban
Americas,2023,100.0,Population covered by a mobile-cellular network (%),Urban
Arab States,2023,100.0,Population covered by a mobile-cellular network (%),Urban
Asia-Pacific,2023,100.0,Population covered by a mobile-cellular network (%),Urban
CIS,2023,100.0,Population covered by a mobile-cellular network (%),Urban
Europe,2023,100.0,Population covered by a mobile-cellular network (%),Urban
World,2024,100.0,Population covered by a mobile-cellular network (%),Urban
Low-income,2024,100.0,Population covered by a mobile-cellular network (%),Urban
Lower-middle-income,2024,100.0,Population covered by a mobile-cellular network (%),Urban
Upper-middle-income,2024,100.0,Population covered by a mobile-cellular network (%),Urban
High-income,2024,100.0,Population covered by a mobile-cellular network (%),Urban
Least Developed Countries (LDCs),2024,100.0,Population covered by a mobile-cellular network (%),Urban
Land Locked Developing Countries (LLDCs),2024,100.0,Population covered by a mobile-cellular network (%),Urban
Small Island Developing States (SIDS),2024,99.9,Population covered by a mobile-cellular network (%),Urban
Africa,2024,100.0,Population covered by a mobile-cellular network (%),Urban
Americas,2024,100.0,Population covered by a mobile-cellular network (%),Urban
Arab States,2024,100.0,Population covered by a mobile-cellular network (%),Urban
Asia-Pacific,2024,100.0,Population covered by a mobile-cellular network (%),Urban
CIS,2024,100.0,Population covered by a mobile-cellular network (%),Urban
Europe,2024,100.0,Population covered by a mobile-cellular network (%),Urban
World,2015,88.9,Population covered by a mobile-cellular network (%),Rural
Low-income,2015,67.1,Population covered by a mobile-cellular network (%),Rural
Lower-middle-income,2015,90.1,Population covered by a mobile-cellular network (%),Rural
Upper-middle-income,2015,91.2,Population covered by a mobile-cellular network (%),Rural
High-income,2015,92.4,Population covered by a mobile-cellular network (%),Rural
Least Developed Countries (LDCs),2015,80,Population covered by a mobile-cellular network (%),Rural
Land Locked Developing Countries (LLDCs),2015,83.7,Population covered by a mobile-cellular network (%),Rural
Small Island Developing States (SIDS),2015,74.2,Population covered by a mobile-cellular network (%),Rural
Africa,2015,78.5,Population covered by a mobile-cellular network (%),Rural
Americas,2015,78.2,Population covered by a mobile-cellular network (%),Rural
Arab States,2015,85.4,Population covered by a mobile-cellular network (%),Rural
Asia-Pacific,2015,92.7,Population covered by a mobile-cellular network (%),Rural
CIS,2015,71.6,Population covered by a mobile-cellular network (%),Rural
Europe,2015,98,Population covered by a mobile-cellular network (%),Rural
World,2016,89.8,Population covered by a mobile-cellular network (%),Rural
Low-income,2016,71.5,Population covered by a mobile-cellular network (%),Rural
Lower-middle-income,2016,91.1,Population covered by a mobile-cellular network (%),Rural
Upper-middle-income,2016,91.8,Population covered by a mobile-cellular network (%),Rural
High-income,2016,92.8,Population covered by a mobile-cellular network (%),Rural
Least Developed Countries (LDCs),2016,81.0,Population covered by a mobile-cellular network (%),Rural
Land Locked Developing Countries (LLDCs),2016,87.0,Population covered by a mobile-cellular network (%),Rural
Small Island Developing States (SIDS),2016,68.7,Population covered by a mobile-cellular network (%),Rural
Africa,2016,79.5,Population covered by a mobile-cellular network (%),Rural
Americas,2016,78.6,Population covered by a mobile-cellular network (%),Rural
Arab States,2016,86.3,Population covered by a mobile-cellular network (%),Rural
Asia-Pacific,2016,93.5,Population covered by a mobile-cellular network (%),Rural
CIS,2016,77.9,Population covered by a mobile-cellular network (%),Rural
Europe,2016,98.5,Population covered by a mobile-cellular network (%),Rural
World,2017,91.3,Population covered by a mobile-cellular network (%),Rural
Low-income,2017,72.0,Population covered by a mobile-cellular network (%),Rural
Lower-middle-income,2017,92.4,Population covered by a mobile-cellular network (%),Rural
Upper-middle-income,2017,95.0,Population covered by a mobile-cellular network (%),Rural
High-income,2017,93.4,Population covered by a mobile-cellular network (%),Rural
Least Developed Countries (LDCs),2017,80.8,Population covered by a mobile-cellular network (%),Rural
Land Locked Developing Countries (LLDCs),2017,87.2,Population covered by a mobile-cellular network (%),Rural
Small Island Developing States (SIDS),2017,71.2,Population covered by a mobile-cellular network (%),Rural
Africa,2017,79.4,Population covered by a mobile-cellular network (%),Rural
Americas,2017,79.5,Population covered by a mobile-cellular network (%),Rural
Arab States,2017,89.2,Population covered by a mobile-cellular network (%),Rural
Asia-Pacific,2017,95.5,Population covered by a mobile-cellular network (%),Rural
CIS,2017,81.1,Population covered by a mobile-cellular network (%),Rural
Europe,2017,98.7,Population covered by a mobile-cellular network (%),Rural
World,2018,91.8,Population covered by a mobile-cellular network (%),Rural
Low-income,2018,75.3,Population covered by a mobile-cellular network (%),Rural
Lower-middle-income,2018,92.3,Population covered by a mobile-cellular network (%),Rural
Upper-middle-income,2018,95.6,Population covered by a mobile-cellular network (%),Rural
High-income,2018,93.6,Population covered by a mobile-cellular network (%),Rural
Least Developed Countries (LDCs),2018,81.8,Population covered by a mobile-cellular network (%),Rural
Land Locked Developing Countries (LLDCs),2018,89.0,Population covered by a mobile-cellular network (%),Rural
Small Island Developing States (SIDS),2018,71.7,Population covered by a mobile-cellular network (%),Rural
Africa,2018,81.6,Population covered by a mobile-cellular network (%),Rural
Americas,2018,79.3,Population covered by a mobile-cellular network (%),Rural
Arab States,2018,87.9,Population covered by a mobile-cellular network (%),Rural
Asia-Pacific,2018,95.9,Population covered by a mobile-cellular network (%),Rural
CIS,2018,81.2,Population covered by a mobile-cellular network (%),Rural
Europe,2018,98.6,Population covered by a mobile-cellular network (%),Rural
World,2019,92.9,Population covered by a mobile-cellular network (%),Rural
Low-income,2019,76.7,Population covered by a mobile-cellular network (%),Rural
Lower-middle-income,2019,93.6,Population covered by a mobile-cellular network (%),Rural
Upper-middle-income,2019,95.0,Population covered by a mobile-cellular network (%),Rural
High-income,2019,98.0,Population covered by a mobile-cellular network (%),Rural
Least Developed Countries (LDCs),2019,82.4,Population covered by a mobile-cellular network (%),Rural
Land Locked Developing Countries (LLDCs),2019,89.9,Population covered by a mobile-cellular network (%),Rural
Small Island Developing States (SIDS),2019,72.1,Population covered by a mobile-cellular network (%),Rural
Africa,2019,81.0,Population covered by a mobile-cellular network (%),Rural
Americas,2019,76.2,Population covered by a mobile-cellular network (%),Rural
Arab States,2019,88.2,Population covered by a mobile-cellular network (%),Rural
Asia-Pacific,2019,96.5,Population covered by a mobile-cellular network (%),Rural
CIS,2019,95.8,Population covered by a mobile-cellular network (%),Rural
Europe,2019,98.6,Population covered by a mobile-cellular network (%),Rural
World,2020,93.2,Population covered by a mobile-cellular network (%),Rural
Low-income,2020,81.9,Population covered by a mobile-cellular network (%),Rural
Lower-middle-income,2020,94.4,Population covered by a mobile-cellular network (%),Rural
Upper-middle-income,2020,94.9,Population covered by a mobile-cellular network (%),Rural
High-income,2020,98.4,Population covered by a mobile-cellular network (%),Rural
Least Developed Countries (LDCs),2020,85.9,Population covered by a mobile-cellular network (%),Rural
Land Locked Developing Countries (LLDCs),2020,90.8,Population covered by a mobile-cellular network (%),Rural
Small Island Developing States (SIDS),2020,76.5,Population covered by a mobile-cellular network (%),Rural
Africa,2020,83.3,Population covered by a mobile-cellular network (%),Rural
Americas,2020,77.6,Population covered by a mobile-cellular network (%),Rural
Arab States,2020,91.7,Population covered by a mobile-cellular network (%),Rural
Asia-Pacific,2020,97.1,Population covered by a mobile-cellular network (%),Rural
CIS,2020,96.0,Population covered by a mobile-cellular network (%),Rural
Europe,2020,99.0,Population covered by a mobile-cellular network (%),Rural
World,2021,93.8,Population covered by a mobile-cellular network (%),Rural
Low-income,2021,83.5,Population covered by a mobile-cellular network (%),Rural
Lower-middle-income,2021,95.1,Population covered by a mobile-cellular network (%),Rural
Upper-middle-income,2021,94.9,Population covered by a mobile-cellular network (%),Rural
High-income,2021,98.6,Population covered by a mobile-cellular network (%),Rural
Least Developed Countries (LDCs),2021,87.6,Population covered by a mobile-cellular network (%),Rural
Land Locked Developing Countries (LLDCs),2021,91.7,Population covered by a mobile-cellular network (%),Rural
Small Island Developing States (SIDS),2021,77.0,Population covered by a mobile-cellular network (%),Rural
Africa,2021,86.0,Population covered by a mobile-cellular network (%),Rural
Americas,2021,77.8,Population covered by a mobile-cellular network (%),Rural
Arab States,2021,92.3,Population covered by a mobile-cellular network (%),Rural
Asia-Pacific,2021,97.1,Population covered by a mobile-cellular network (%),Rural
CIS,2021,96.8,Population covered by a mobile-cellular network (%),Rural
Europe,2021,99.0,Population covered by a mobile-cellular network (%),Rural
World,2022,94.3,Population covered by a mobile-cellular network (%),Rural
Low-income,2022,84.7,Population covered by a mobile-cellular network (%),Rural
Lower-middle-income,2022,95.5,Population covered by a mobile-cellular network (%),Rural
Upper-middle-income,2022,95.8,Population covered by a mobile-cellular network (%),Rural
High-income,2022,98.1,Population covered by a mobile-cellular network (%),Rural
Least Developed Countries (LDCs),2022,88.5,Population covered by a mobile-cellular network (%),Rural
Land Locked Developing Countries (LLDCs),2022,93.2,Population covered by a mobile-cellular network (%),Rural
Small Island Developing States (SIDS),2022,77.0,Population covered by a mobile-cellular network (%),Rural
Africa,2022,87.2,Population covered by a mobile-cellular network (%),Rural
Americas,2022,79.9,Population covered by a mobile-cellular network (%),Rural
Arab States,2022,92.9,Population covered by a mobile-cellular network (%),Rural
Asia-Pacific,2022,97.4,Population covered by a mobile-cellular network (%),Rural
CIS,2022,97.2,Population covered by a mobile-cellular network (%),Rural
Europe,2022,98.9,Population covered by a mobile-cellular network (%),Rural
World,2023,94.7,Population covered by a mobile-cellular network (%),Rural
Low-income,2023,85.4,Population covered by a mobile-cellular network (%),Rural
Lower-middle-income,2023,96.0,Population covered by a mobile-cellular network (%),Rural
Upper-middle-income,2023,96.1,Population covered by a mobile-cellular network (%),Rural
High-income,2023,98.0,Population covered by a mobile-cellular network (%),Rural
